algorithm,num_temps,schedule,run,min_energy,mean_energy,runtime_s
QQA,23,pqqa+polish,0,-1.6930028200,-1.6847488880,41.495194
QQA,23,pqqa+polish,1,-1.6930028200,-1.6847306490,31.687061
QQA,23,pqqa+polish,2,-1.6930028200,-1.6847133636,31.841870
QQA,23,pqqa+polish,3,-1.6930028200,-1.6847044230,31.794954
QQA,23,pqqa+polish,4,-1.6930028200,-1.6847016811,31.727547
QQA,23,pqqa+polish,5,-1.6930028200,-1.6847016811,31.804623
QQA,23,pqqa+polish,6,-1.6930028200,-1.6847352982,31.839169
QQA,23,pqqa+polish,7,-1.6930028200,-1.6847079992,31.744285
QQA,23,pqqa+polish,8,-1.6930028200,-1.6847083569,31.796686
QQA,23,pqqa+polish,9,-1.6930028200,-1.6847127676,31.765138
QQA,23,pqqa+polish,10,-1.6930028200,-1.6847677231,31.686217
QQA,23,pqqa+polish,11,-1.6930028200,-1.6847670078,31.781056
QQA,23,pqqa+polish,12,-1.6930028200,-1.6847658157,31.818681
QQA,23,pqqa+polish,13,-1.6930028200,-1.6847759485,31.766171
QQA,23,pqqa+polish,14,-1.6930028200,-1.6846969128,31.755357
QQA,23,pqqa+polish,15,-1.6930028200,-1.6846904755,31.780654
QQA,23,pqqa+polish,16,-1.6930028200,-1.6847178936,31.767811
QQA,23,pqqa+polish,17,-1.6930028200,-1.6846635342,31.780633
QQA,23,pqqa+polish,18,-1.6930028200,-1.6847251654,31.898148
QQA,23,pqqa+polish,19,-1.6930028200,-1.6847714186,32.954871
QQA,23,pqqa+polish,20,-1.6930028200,-1.6846444607,32.613878
QQA,23,pqqa+polish,21,-1.6930028200,-1.6847718954,31.812496
QQA,23,pqqa+polish,22,-1.6930028200,-1.6847529411,31.847390
QQA,23,pqqa+polish,23,-1.6930028200,-1.6847918034,31.730267
QQA,23,pqqa+polish,24,-1.6930028200,-1.6848022938,31.922583
QQA,23,pqqa+polish,25,-1.6930028200,-1.6847367287,31.952444
QQA,23,pqqa+polish,26,-1.6930028200,-1.6846739054,31.843076
QQA,23,pqqa+polish,27,-1.6930028200,-1.6846556664,31.927586
QQA,23,pqqa+polish,28,-1.6930028200,-1.6846696138,31.841588
QQA,23,pqqa+polish,29,-1.6930028200,-1.6847035885,31.933909
QQA,23,pqqa+polish,30,-1.6930028200,-1.6847207546,31.821337
QQA,23,pqqa+polish,31,-1.6930028200,-1.6847724915,31.817742
QQA,23,pqqa+polish,32,-1.6930028200,-1.6847904921,31.803289
QQA,23,pqqa+polish,33,-1.6930028200,-1.6847592592,31.713870
QQA,23,pqqa+polish,34,-1.6930028200,-1.6847485304,31.763294
QQA,23,pqqa+polish,35,-1.6930028200,-1.6847746372,31.833162
QQA,23,pqqa+polish,36,-1.6930028200,-1.6847441196,31.765657
QQA,23,pqqa+polish,37,-1.6930028200,-1.6846730709,31.778474
QQA,23,pqqa+polish,38,-1.6930028200,-1.6847532988,32.028964
QQA,23,pqqa+polish,39,-1.6930028200,-1.6848407984,32.874305
QQA,23,pqqa+polish,40,-1.6930028200,-1.6847529411,32.342713
QQA,23,pqqa+polish,41,-1.6930028200,-1.6847553253,31.768719
QQA,23,pqqa+polish,42,-1.6930028200,-1.6847348213,31.846092
QQA,23,pqqa+polish,43,-1.6930028200,-1.6847572327,31.772201
QQA,23,pqqa+polish,44,-1.6930028200,-1.6847436428,31.781669
QQA,23,pqqa+polish,45,-1.6930028200,-1.6847029924,31.711475
QQA,23,pqqa+polish,46,-1.6930028200,-1.6846956015,31.864917
QQA,23,pqqa+polish,47,-1.6930028200,-1.6846916676,31.759724
QQA,23,pqqa+polish,48,-1.6930028200,-1.6848422289,31.811935
QQA,23,pqqa+polish,49,-1.6930028200,-1.6847261190,31.766481
